,segment,计数
3115,烦恼,4
2942,江西,4
2756,来交个,4
1622,好好,4
3287,画画,4
708,代码,4
81,92,4
474,世间,4
1655,妹妹,4
1554,天涯,4
2889,每天,4
1163,压力,4
3559,精彩,4
2532,无别,4
172,hi,4
2050,征友,4
1441,坚持,4
1287,后夏夕颜,4
735,会友,4
1756,室友,4
141,TA,4
3363,相识,4
138,Right,4
2280,我会,4
774,佛系,4
3332,盖世英雄,4
3280,男神,4
4052,负债,4
762,体验,4
1634,如初,4
2732,未曾,4
4492,风雪,4
1267,同事,4
2277,成都,4
3146,爱好者,4
503,中医,4
1208,叛逆,4
3137,爱上,4
822,做饭,4
84,95,4
4452,面对,4
2445,收到,4
1205,变成,4
1822,小姐,4
1302,君子,4
2434,摄影,4
86,97,4
2439,撩妹,4
3734,背后,4
1922,已婚,4
3297,疯子,4
3145,爱好,4
556,乌鸦,4
720,以梦为,4
2567,日子,4
582,书信,4
1983,幻想,4
1965,年华,4
3533,简书里,4
3923,裸贷,4
1966,年妹,4
948,冬天,4
2373,拒绝,4
1976,年龄,4
932,写字,4
2703,有缘人,4
930,写信,4
871,八一,4
2658,最后,4
1981,幸运,4
1482,多多指教,4
915,内心,4
2187,悦己,4
2801,查收,4
293,一群,4
634,互粉,4
1010,刚好,4
1014,初入,4
3456,离职,4
1393,回来,4
3870,获奖,4
2354,抑郁,4
3610,经历,4
1525,大概,4
3398,眼里,4
3392,眼前,4
308,一颗,4
302,一辈子,4
1380,四月,4
974,几个,4
4166,这条,4
1486,多年,4
750,似舞,4
2932,汉纸,4
3319,白茶,4
1936,师大,4
899,关注,4
3348,相似,4
693,今夜,4
897,共央君,4
3419,研究生,4
3214,玫瑰,4
1542,天使,4
397,不好意思,4
4289,野马,4
4172,进来,4
3961,计划,4
1116,半年,4
2092,心上人,4
2627,晚安,4
3412,短发,4
3411,知音,4
1674,婚姻,4
3649,缓缓,4
2490,文学,4
54,27,4
3651,编委,4
4099,足以,4
1391,回忆,3
3579,红尘,3
2323,才子,3
696,今生,3
3291,留在,3
3463,科技,3
2358,折腾,3
744,伪文青,3
3672,网贷,3
2939,江湖,3
1851,小确幸,3
3204,献给,3
1589,奋斗,3
4065,贵州,3
1297,向往,3
4100,足够,3
3169,特产,3
4081,走上,3
2929,汉服,3
1582,头发,3
3595,纸人,3
1294,向上,3
3213,玩转,3
2951,沉迷,3
3188,独白,3
3641,维权,3
3602,终其一生,3
728,伊人,3
664,产品,3
1971,年纪,3
3192,独自,3
1324,告诫,3
3682,美食,3
2958,沟通,3
1282,名单,3
689,人间,3
1204,变态,3
2014,异地,3
3080,漂亮,3
1073,匆匆,3
3936,要求,3
925,再见,3
924,再次,3
1078,北方,3
3833,苏州,3
2113,心碎,3
1480,多图,3
3544,简约,3
910,养猫,3
2106,心灵,3
2104,心情,3
2103,心悦,3
3012,浪漫,3
906,兵哥哥,3
1473,多个,3
3009,浙江,3
3954,解决,3
894,共同,3
3500,第一期,3
2221,想来,3
933,写封信,3
2199,情感,3
2093,心中,3
1489,多才多艺,3
3049,清欢,3
1018,初次见面,3
1504,大三,3
2162,思考,3
996,出轨,3
995,出现,3
3518,答应,3
987,出去,3
981,凡人,3
3039,深情,3
3908,行情,3
964,凉亦歌,3
1892,山有,3
1050,功能,3
1051,加入,3
1877,尝试,3
3848,英雄,3
