,segment,计数
4491,下来,253
445,2018,252
59103,走过,251
79,10,251
52392,编辑,251
47943,直接,250
13216,几天,250
9251,仿佛,248
59719,身体,248
36089,方面,247
64937,面对,246
44864,照顾,246
2790,一只,245
47077,留下,245
63148,长大,243
4576,下面,243
23318,好多,243
24275,学会,242
61226,追求,242
27601,年纪,241
4027,三年,240
8854,从来,240
30602,情感,239
50254,竟然,238
14170,到底,238
48652,眼里,238
11186,像是,238
57918,话题,238
29699,必须,237
16048,印象,237
64038,陪伴,237
3622,一颗,237
24591,完全,235
52068,结束,235
66224,高兴,234
34245,推荐,234
50960,算是,234
30870,想着,234
23484,如今,233
31383,成熟,233
33132,担心,233
46569,生日,233
48404,看过,232
27695,幸运,232
49292,礼物,232
40347,欣赏,232
4894,不少,232
59412,足够,231
47028,画画,231
45727,独立,230
42816,浪漫,230
19275,唯一,230
23149,女孩子,229
40192,模样,229
25438,寻找,229
66944,鼓励,229
13630,分手,228
6199,中国,228
30944,意义,228
30202,总会,228
52780,羡慕,227
30113,性别,227
45558,状态,227
48719,睡觉,227
48545,真诚,226
13144,几乎,226
19943,回复,226
38348,朋友圈,226
34185,接触,225
25142,宿舍,225
13830,刚刚,225
18416,听到,224
48502,真是,224
37401,普通,223
60387,过来,223
35519,整个,222
31321,成功,222
25819,小时候,222
15707,单纯,220
32354,打开,220
56562,衣服,220
63965,陌生,220
8835,从小,220
27459,平凡,220
19931,回到,219
21531,多年,219
54577,至少,218
3428,一群,218
52404,缘分,218
30572,情况,217
60423,过程,217
17969,同样,217
44919,熟悉,217
54390,自我介绍,216
10473,保持,216
37916,最终,216
38676,本来,215
30052,思考,215
3536,一路,214
11048,健身,214
47891,目标,214
25593,小伙伴,214
57377,计划,214
12386,内容,214
51018,篇文章,213
3162,一枚,213
57534,记忆,213
399,20,213
25001,家乡,212
27345,常常,211
30636,情绪,211
16377,去过,211
30031,思想,210
33269,拍照,210
28807,影响,210
49117,确实,210
24621,完成,209
113,11,209
46192,珍惜,208
64300,难过,208
25006,家人,208
10100,作品,207
57462,讨厌,207
24806,实在,207
31235,懂得,206
54182,脾气,206
